step,demand_adjustment
0,1179.6829
1,1171.2806
2,1188.2372
3,1163.7584
4,1162.8146
5,1167.0658
6,1142.5374
7,1145.2368
8,1143.4429
9,1151.5774
10,1146.9169
11,1152.6587
12,1139.2328
13,1141.5919
14,1143.6603
15,1136.3103
16,1127.6139
17,1137.6138
18,1130.2426
19,1117.6781
20,1104.7986
21,1112.7855
22,1106.09
23,1106.5883
24,1125.2532
25,1085.5127
26,1090.9438
27,1095.2439
28,1098.4515
29,1092.0151
30,1090.6919
31,1080.1243
32,1075.1956
33,1092.0537
34,1100.8496
35,1105.9889
36,1101.6167
37,1072.1726
38,1092.8552
39,1078.7043
40,1080.9839
41,1072.6559
42,1082.866
43,1081.5558
44,1075.2378
45,1068.3944
46,1086.766
47,1084.6058
48,1073.7998
49,1080.8201
50,1074.1271
51,1082.0918
52,1089.7894
53,1084.7881
54,1099.8667
55,1088.4141
56,1088.1143
57,1084.6298
58,1083.833
59,1080.6605
60,1099.3921
61,1067.2075
62,1081.6268
63,1083.1108
64,1101.2692
65,1096.12
66,1084.5397
67,1082.8711
68,1099.0067
69,1092.4386
70,1115.255
71,1090.978
72,1083.9792
73,1087.0929
74,1093.0186
75,1100.0715
76,1113.2485
77,1114.4097
78,1132.4359
79,1109.2534
80,1102.433
81,1112.8512
82,1103.8918
83,1107.3524
84,1115.2104
85,1115.0391
86,1106.1559
87,1112.888
88,1121.707
89,1114.0236
90,1126.4062
91,1124.8976
92,1121.5293
93,1094.3748
94,1115.083
95,1119.4839
96,1124.5851
97,1092.4294
98,1097.04
99,1100.4956
100,1106.5671
101,1066.4056
102,1068.9688
103,1045.2865
104,1039.1719
105,1034.253
106,1026.1108
107,1010.2828
108,1028.413
109,1010.3107
110,1028.6938
111,1014.4113
112,1007.564
113,980.578
114,978.3867
115,967.7911
116,977.9305
117,944.4414
118,948.9979
119,946.8099
120,942.5499
121,908.7983
122,920.6534
123,925.9269
124,926.5667
125,929.4719
126,917.7896
127,935.8623
128,909.978
129,899.1986
130,908.0101
131,911.1581
132,928.9263
133,922.002
134,912.489
135,902.9666
136,924.6454
137,937.8776
138,935.1138
139,951.001
140,948.7693
141,984.9556
142,955.1516
143,959.1225
144,962.8517
145,969.9235
146,975.596
147,1016.8046
148,980.2568
149,1020.5731
150,1001.0211
151,1015.9911
152,1018.7177
153,1000.755
154,1010.7108
155,1031.9832
156,1022.5809
157,1043.5315
158,1040.6729
159,1010.5006
160,1012.7322
161,1019.5983
162,1018.1605
163,1023.1898
164,1043.9806
165,1051.3389
166,1082.6937
167,1070.6638
168,1057.8068
169,1078.4467
170,1061.9304
171,1072.3231
172,1066.8254
173,1035.4838
174,1056.0725
175,1079.7625
176,1083.1606
177,1100.5042
178,1101.9062
179,1109.1166
180,1117.2712
181,1111.023
182,1136.1146
183,1159.7085
184,1181.787
185,1212.065
186,1193.6831
187,1225.3975
188,1277.6991
189,1252.7871
190,1283.786
191,1289.5548
192,1303.1969
193,1293.2025
194,1291.9253
195,1311.7855
196,1333.9099
197,1323.6759
198,1356.3695
199,1371.4883
200,1367.8046
201,1387.5565
202,1383.5984
203,1399.6492
204,1410.224
205,1437.4858
206,1434.1321
207,1428.7579
208,1419.5198
209,1412.8147
210,1432.3654
211,1414.6321
212,1423.7543
213,1429.9082
214,1439.8236
215,1453.2368
216,1465.5266
217,1478.1353
218,1488.0128
219,1498.4757
220,1489.0675
221,1518.3387
222,1512.0557
223,1510.2787
224,1514.1572
225,1537.5078
226,1518.1333
227,1534.4336
228,1545.8268
229,1546.0444
230,1545.7717
231,1539.994
232,1535.9711
233,1544.6663
234,1542.1472
235,1564.844
236,1549.9883
237,1573.8699
238,1568.1023
239,1576.9062
240,1575.9868
241,1590.3157
242,1580.79
243,1573.0576
244,1586.571
245,1569.2368
246,1590.064
247,1576.5037
248,1559.1455
249,1561.3843
250,1552.3015
251,1542.8163
252,1540.5569
253,1513.2773
254,1522.3767
255,1513.5878
256,1497.032
257,1488.2521
258,1498.0269
259,1491.1329
260,1480.2806
261,1466.9341
262,1460.6721
263,1453.197
264,1437.4667
265,1433.1753
266,1416.1943
267,1416.4348
268,1404.1401
269,1391.0923
270,1407.6735
271,1385.7711
272,1380.0623
273,1362.4146
274,1359.9766
275,1353.3145
276,1333.5492
277,1319.102
278,1316.676
279,1326.5188
280,1305.2992
281,1290.919
282,1284.9247
283,1282.0588
284,1271.9447
285,1256.8293
286,1271.5247
287,1247.3174
288,1240.2373
289,1222.6261
290,1214.2163
291,1225.2329
292,1225.0367
