step,demand_adjustment
0,-0.1683
1,-0.6686
2,-0.4824
3,0.8223
4,-0.1491
5,-0.2501
6,0.0539
7,0.0096
8,0.7439
9,0.7732
10,-0.6723
11,0.2082
12,0.4156
13,0.3679
14,0.2749
15,-0.5719
16,-0.3627
17,-0.3753
18,-0.8749
19,0.7216
20,0.1571
21,-0.6553
22,-0.5976
23,-0.4760
24,0.6674
25,0.7573
26,-0.5983
27,0.0177
28,0.4461
29,-0.7390
30,0.0617
31,0.7920
32,-0.0492
33,0.2077
34,0.1795
35,0.1961
36,0.6540
37,-0.1489
38,-0.1996
39,-0.3381
40,0.3610
41,0.3780
42,-0.1801
43,-0.3161
44,-0.7192
45,-0.2763
46,0.3809
47,0.3991
48,0.3089
49,-0.7257
50,0.4963
51,0.5001
52,0.3831
53,-0.6447
54,-0.1482
55,0.0097
56,0.0258
57,-0.1023
58,-0.3115
59,0.1713
60,0.4903
61,0.4663
62,-0.7305
63,-0.3722
64,0.4146
65,0.2170
66,-0.1277
67,-0.0704
68,0.5529
69,-0.1939
70,0.0875
71,-0.0023
72,-0.2131
73,-0.2707
74,-0.6548
75,0.4841
76,-0.2303
77,0.6176
78,0.3402
79,-0.2276
80,0.3434
81,-0.9780
82,-0.4224
83,0.8134
84,0.1193
85,-0.1751
86,0.0171
87,0.2131
88,0.0856
89,-0.0950
90,-0.0830
91,0.2270
92,-0.1270
93,0.4011
94,0.0396
95,-0.0287
96,-0.0213
97,0.4864
98,-0.6654
99,-0.2285
100,0.0589
101,-0.2442
102,-0.1281
103,-0.0856
104,0.3414
105,0.2132
106,-0.2217
107,-0.1044
108,-0.1089
109,0.2214
110,0.1061
111,-0.0700
112,0.1839
113,0.0668
114,-0.0195
115,0.0905
116,-0.2955
117,0.0378
118,-0.4546
119,-0.9340
120,0.6152
121,0.1628
122,-0.1052
123,-0.0492
124,0.3193
125,0.5057
126,-0.1894
127,0.1059
128,-0.3168
129,0.0976
130,-0.6698
131,-0.9149
132,0.5108
133,0.6447
134,-0.4608
135,-0.1342
136,-0.0604
137,0.0269
138,0.1494
139,0.3914
140,-0.3577
141,-0.0895
142,-0.0048
143,0.6794
144,0.9466
145,0.0212
146,0.3540
147,0.3993
148,0.0737
149,-0.4138
150,-0.4389
151,0.0409
152,0.1698
153,-0.4592
154,-0.5631
155,-0.4902
156,0.7406
157,-0.1496
158,0.6411
159,-0.2851
160,-0.5826
161,-0.6874
162,-0.4207
163,-0.4847
164,0.0018
165,0.9409
166,0.4592
167,0.3726
168,-0.4893
169,-0.3158
170,0.5354
171,0.0636
172,0.0495
173,0.2887
174,0.2587
175,0.6635
176,-0.0713
177,0.0203
178,-0.8065
179,-0.3386
180,0.1747
181,0.6381
182,-0.0946
183,-0.3933
184,-0.0623
185,-0.1113
186,-0.0836
187,-0.2549
188,0.6686
189,-0.2510
190,0.0181
191,0.6477
192,-0.1109
193,0.3000
194,-0.0403
195,0.2491
196,0.0323
197,-0.3121
198,-0.1286
199,-0.3464
200,-0.2652
201,0.5557
202,-0.1863
203,-0.4788
204,-0.5354
205,0.6820
206,-0.4249
207,0.0116
208,0.3466
209,0.3017
210,-0.0679
211,-0.2516
212,0.0029
213,-0.2517
214,-0.0302
215,-0.4146
216,-0.3184
217,0.1569
218,0.0213
219,0.3922
220,0.1076
221,0.0616
222,-0.1451
223,0.2233
224,-0.0929
225,-0.2339
226,-0.1943
227,-0.5852
228,-0.2606
229,0.4923
230,0.4826
231,0.3549
232,0.1867
233,0.4793
234,-0.1717
235,0.0103
236,0.0096
237,-0.3578
238,-0.1283
239,-0.0929
240,0.4643
241,0.6758
242,-0.4569
243,0.3471
244,-0.4504
245,0.6935
246,-0.1917
247,-0.4176
248,-0.4647
249,0.2528
250,0.1163
251,-0.0804
252,-0.3143
253,0.5130
254,0.0191
255,-0.1701
256,-0.4869
257,-0.5989
258,0.4602
259,0.5237
260,-0.3951
261,0.2650
262,0.1222
263,-0.2689
264,-0.0461
265,0.2877
266,-0.3209
267,0.3809
268,-0.2302
269,-0.1139
270,-0.4448
271,0.3330
272,0.2735
273,-0.6969
274,-0.7936
275,0.8681
276,0.2617
277,-0.7059
278,-0.1898
279,-0.1917
280,0.6447
281,0.1941
282,0.1607
283,-0.0204
284,0.1964
285,0.5235
286,0.1595
287,-0.5422
