arrivaltime,workplace
1,0.0
2,1.0
3,1.0
4,0.0
5,0.0
6,2.0
7,0.0
8,0.0
9,1.0
10,0.0
11,1.0
12,0.0
13,2.0
14,0.0
15,1.0
16,0.0
17,1.0
18,1.0
19,2.0
20,1.0
21,0.0
22,3.0
23,0.0
24,0.0
25,0.0
26,1.0
27,1.0
28,0.0
29,1.0
30,0.0
31,0.0
32,1.0
33,1.0
34,1.0
35,2.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,1.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,2.0
64,48.0
65,27.0
66,1.0
67,1.0
68,0.0
69,1.0
70,1.0
71,5.0
72,9.0
73,15.0
74,15.0
75,23.0
76,76.0
77,74.0
78,58.0
79,43.0
80,30.0
81,43.0
82,26.0
83,30.0
84,32.0
85,44.0
86,46.0
87,35.0
88,41.0
89,54.0
90,54.0
91,61.0
92,17.0
93,28.0
94,37.0
95,20.0
96,29.0
97,21.0
98,31.0
99,15.0
100,23.0
101,23.0
102,18.0
103,12.0
104,17.0
105,7.0
106,8.0
107,1.0
108,9.0
109,3.0
110,6.0
111,7.0
112,10.0
113,18.0
114,7.0
115,3.0
116,2.0
117,5.0
118,3.0
119,10.0
120,5.0
121,4.0
122,0.0
123,5.0
124,1.0
125,2.0
126,3.0
127,7.0
128,7.0
129,6.0
130,1.0
131,6.0
132,6.0
133,5.0
134,3.0
135,4.0
136,3.0
137,7.0
138,4.0
139,4.0
140,6.0
141,3.0
142,2.0
143,4.0
144,11.0
145,3.0
146,5.0
147,4.0
148,2.0
149,8.0
150,4.0
151,3.0
152,1.0
153,4.0
154,3.0
155,3.0
156,4.0
157,1.0
158,2.0
159,1.0
160,4.0
161,1.0
162,2.0
163,6.0
164,3.0
165,1.0
166,3.0
167,1.0
168,3.0
169,0.0
170,5.0
171,2.0
172,2.0
173,1.0
174,2.0
175,2.0
176,2.0
177,4.0
178,3.0
179,3.0
180,13.0
181,3.0
182,2.0
183,4.0
184,5.0
185,10.0
186,0.0
187,3.0
188,0.0
189,1.0
190,0.0
191,2.0
192,3.0
193,2.0
194,2.0
195,1.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,1.0
204,1.0
205,0.0
206,0.0
207,1.0
208,1.0
209,1.0
210,0.0
211,0.0
212,0.0
213,0.0
214,1.0
215,0.0
216,0.0
217,0.0
218,1.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,1.0
230,0.0
231,0.0
232,0.0
233,2.0
234,1.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,1.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
