ev_id,connection_minutes_5min,required_soc_percent
1,97,19.166
2,36,16.0
3,143,48.0
4,116,20.0
5,125,16.0
6,110,40.0
7,40,15.0
8,112,19.742
9,110,48.0
10,112,75.0
11,128,14.382
12,103,25.084
13,102,12.564
14,49,36.964
15,125,8.846
16,116,12.444
17,76,17.19
18,46,23.61
19,51,24.0
20,47,24.232
21,34,75.0
22,57,22.0
23,14,16.0
24,23,4.496
25,6,5.974
26,28,9.934
27,4,3.558
28,8,8.708
29,31,16.53
30,12,7.904
31,142,48.0
32,111,32.0
33,77,41.81
34,123,40.0
35,125,24.0
36,16,15.47
37,99,48.0
38,20,19.258
39,65,20.0
40,64,14.198
41,124,24.814
42,74,6.202
43,121,15.89
44,126,18.104
45,132,9.252
46,108,41.818
47,103,16.0
48,53,20.0
49,127,9.848
50,129,8.904
51,90,6.176
52,81,32.0
53,38,21.672
54,111,16.068
55,34,29.878
56,97,32.914
57,120,19.274
58,109,11.556
59,113,41.838
60,88,24.84
61,25,13.026
62,73,41.79
63,61,20.642
64,86,33.356
65,37,39.04
66,35,1.572
67,26,24.0
68,8,56.0
69,17,16.122
70,21,19.256
71,15,14.384
72,19,6.53
73,36,27.238
74,25,7.144
75,133,48.0
76,77,6.66
77,102,100.0
78,111,40.0
79,30,15.0
80,109,36.0
81,108,70.0
82,109,24.0
83,57,13.912
84,118,25.0
85,47,25.37
86,90,39.0
87,100,12.0
88,106,20.0
89,122,7.944
90,100,16.0
91,38,2.174
92,27,16.0
93,120,31.074
94,114,16.0
95,140,41.834
96,111,16.0
97,107,26.956
98,72,41.748
99,27,14.284
100,84,41.798
101,99,32.106
102,59,41.738
103,60,11.622
104,118,16.678
105,26,10.966
106,28,7.868
107,104,22.534
108,79,33.3
109,18,18.304
110,59,24.0
111,57,8.732
112,10,3.564
113,41,8.0
114,38,2.41
115,39,33.042
116,30,18.068
117,23,3.802
118,24,24.274
119,21,22.24
120,10,10.948
121,153,16.0
122,76,32.0
123,105,20.0
124,54,23.932
125,26,30.25
126,28,28.484
127,32,16.386
128,7,16.0
129,98,32.0
130,110,100.0
131,107,48.0
132,75,38.118
133,95,40.0
134,123,24.0
135,116,31.632
136,124,37.5
137,41,24.0
138,90,80.0
139,128,13.034
140,131,25.642
141,55,14.414
142,108,29.386
143,104,35.498
144,128,48.0
145,117,24.0
146,89,29.83
147,123,7.548
148,103,28.28
149,114,37.116
150,86,16.0
151,114,29.124
152,75,37.322
153,62,5.624
154,127,36.256
155,103,35.182
156,90,6.66
157,47,5.686
158,108,8.408
159,111,40.27
160,104,37.404
161,46,11.474
162,63,26.94
163,116,9.194
164,117,34.514
165,110,11.38
166,61,24.0
167,39,34.904
168,65,41.824
169,48,41.75
170,115,32.0
171,15,16.0
172,40,41.256
173,24,13.05
174,19,18.918
175,38,16.19
176,15,27.8
177,3,1.734
178,12,16.0
179,689,17.486
180,636,13.068
181,88,24.0
182,39,37.19
183,91,26.112
184,91,38.444
185,102,38.656
186,68,41.764
187,88,17.292
188,118,33.424
189,94,25.866
190,80,40.738
191,86,11.674
192,97,26.504
193,77,40.726
194,108,13.776
195,83,26.972
196,109,30.0
197,112,31.604
198,101,39.96
199,100,27.264
200,126,11.516
201,110,29.41
202,92,24.644
203,108,26.688
204,36,8.408
205,50,6.504
206,107,21.066
207,50,41.772
208,47,11.0
209,19,9.47
210,35,12.884
211,35,30.608
212,8,8.398
213,13,32.0
214,26,14.344
215,18,4.972
216,5,3.882
217,11,3.124
218,22,12.136
219,78,20.0
220,119,24.166
221,115,32.0
222,83,11.316
223,66,18.752
224,43,12.69
225,170,24.0
226,111,18.618
227,100,14.412
228,51,41.79
229,99,24.762
230,88,19.944
231,99,41.784
232,20,10.608
233,88,1.242
234,59,41.752
235,73,8.842
