arrivaltime,workplace
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,2.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,2.0
70,0.0
71,4.0
72,9.0
73,0.0
74,0.0
75,3.0
76,4.0
77,4.0
78,6.0
79,4.0
80,0.0
81,2.0
82,8.0
83,9.0
84,14.0
85,11.0
86,6.0
87,11.0
88,6.0
89,5.0
90,14.0
91,16.0
92,21.0
93,10.0
94,26.0
95,28.0
96,27.0
97,39.0
98,21.0
99,23.0
100,20.0
101,32.0
102,19.0
103,37.0
104,20.0
105,24.0
106,27.0
107,22.0
108,26.0
109,27.0
110,22.0
111,31.0
112,17.0
113,21.0
114,17.0
115,20.0
116,18.0
117,24.0
118,17.0
119,19.0
120,28.0
121,10.0
122,20.0
123,30.0
124,11.0
125,9.0
126,12.0
127,16.0
128,19.0
129,9.0
130,13.0
131,12.0
132,19.0
133,25.0
134,13.0
135,8.0
136,8.0
137,13.0
138,9.0
139,9.0
140,14.0
141,14.0
142,16.0
143,7.0
144,10.0
145,17.0
146,14.0
147,8.0
148,9.0
149,9.0
150,5.0
151,14.0
152,15.0
153,19.0
154,12.0
155,19.0
156,9.0
157,11.0
158,6.0
159,9.0
160,4.0
161,10.0
162,10.0
163,11.0
164,5.0
165,9.0
166,8.0
167,12.0
168,15.0
169,12.0
170,6.0
171,7.0
172,5.0
173,8.0
174,6.0
175,5.0
176,13.0
177,10.0
178,13.0
179,9.0
180,13.0
181,12.0
182,16.0
183,5.0
184,8.0
185,8.0
186,12.0
187,4.0
188,2.0
189,6.0
190,10.0
191,8.0
192,13.0
193,12.0
194,16.0
195,9.0
196,6.0
197,7.0
198,13.0
199,6.0
200,8.0
201,9.0
202,6.0
203,17.0
204,9.0
205,4.0
206,4.0
207,4.0
208,6.0
209,4.0
210,4.0
211,6.0
212,2.0
213,6.0
214,3.0
215,8.0
216,0.0
217,8.0
218,0.0
219,4.0
220,2.0
221,4.0
222,7.0
223,8.0
224,5.0
225,13.0
226,4.0
227,13.0
228,5.0
229,2.0
230,5.0
231,1.0
232,2.0
233,2.0
234,4.0
235,5.0
236,4.0
237,2.0
238,2.0
239,0.0
240,0.0
241,0.0
242,1.0
243,1.0
244,0.0
245,0.0
246,0.0
247,6.0
248,0.0
249,2.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,2.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
