arrivaltime,workplace
1,0.0
2,2.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,6.0
9,0.0
10,2.0
11,1.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,1.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,1.0
39,0.0
40,0.0
41,0.0
42,2.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,1.0
52,0.0
53,0.0
54,0.0
55,0.0
56,3.0
57,2.0
58,2.0
59,0.0
60,4.0
61,0.0
62,2.0
63,2.0
64,2.0
65,0.0
66,2.0
67,4.0
68,6.0
69,0.0
70,6.0
71,6.0
72,18.0
73,10.0
74,14.0
75,18.0
76,10.0
77,16.0
78,18.0
79,6.0
80,12.0
81,16.0
82,8.0
83,2.0
84,15.0
85,12.0
86,12.0
87,7.0
88,9.0
89,19.0
90,12.0
91,13.0
92,9.0
93,10.0
94,20.0
95,17.0
96,8.0
97,19.0
98,12.0
99,14.0
100,4.0
101,11.0
102,12.0
103,4.0
104,12.0
105,4.0
106,17.0
107,19.0
108,12.0
109,17.0
110,12.0
111,21.0
112,19.0
113,4.0
114,6.0
115,12.0
116,11.0
117,6.0
118,5.0
119,6.0
120,3.0
121,9.0
122,13.0
123,13.0
124,14.0
125,6.0
126,1.0
127,9.0
128,4.0
129,10.0
130,14.0
131,10.0
132,13.0
133,8.0
134,6.0
135,8.0
136,5.0
137,6.0
138,9.0
139,6.0
140,0.0
141,7.0
142,6.0
143,7.0
144,7.0
145,20.0
146,9.0
147,14.0
148,10.0
149,9.0
150,6.0
151,7.0
152,4.0
153,8.0
154,10.0
155,12.0
156,3.0
157,3.0
158,6.0
159,0.0
160,10.0
161,5.0
162,9.0
163,10.0
164,10.0
165,10.0
166,10.0
167,9.0
168,15.0
169,10.0
170,12.0
171,11.0
172,15.0
173,18.0
174,16.0
175,9.0
176,5.0
177,9.0
178,7.0
179,12.0
180,6.0
181,8.0
182,9.0
183,8.0
184,11.0
185,10.0
186,16.0
187,7.0
188,13.0
189,15.0
190,17.0
191,12.0
192,14.0
193,8.0
194,19.0
195,9.0
196,9.0
197,16.0
198,23.0
199,13.0
200,19.0
201,12.0
202,19.0
203,12.0
204,16.0
205,36.0
206,39.0
207,25.0
208,24.0
209,32.0
210,34.0
211,17.0
212,30.0
213,25.0
214,20.0
215,25.0
216,26.0
217,28.0
218,21.0
219,18.0
220,23.0
221,7.0
222,7.0
223,18.0
224,22.0
225,31.0
226,23.0
227,11.0
228,31.0
229,30.0
230,29.0
231,13.0
232,19.0
233,18.0
234,24.0
235,23.0
236,15.0
237,31.0
238,16.0
239,15.0
240,9.0
241,14.0
242,16.0
243,32.0
244,16.0
245,16.0
246,3.0
247,7.0
248,11.0
249,18.0
250,6.0
251,12.0
252,10.0
253,13.0
254,4.0
255,12.0
256,5.0
257,3.0
258,6.0
259,1.0
260,8.0
261,1.0
262,1.0
263,4.0
264,6.0
265,3.0
266,4.0
267,4.0
268,6.0
269,0.0
270,5.0
271,2.0
272,2.0
273,5.0
274,4.0
275,2.0
276,5.0
277,0.0
278,0.0
279,0.0
280,2.0
281,1.0
282,0.0
283,0.0
284,2.0
285,2.0
286,0.0
287,2.0
288,0.0
