arrivaltime,workplace
1,6.0
2,0.0
3,1.0
4,6.0
5,4.0
6,1.0
7,7.0
8,1.0
9,6.0
10,6.0
11,10.0
12,6.0
13,8.0
14,4.0
15,8.0
16,6.0
17,4.0
18,2.0
19,0.0
20,11.0
21,0.0
22,6.0
23,5.0
24,10.0
25,2.0
26,3.0
27,5.0
28,6.0
29,2.0
30,0.0
31,2.0
32,4.0
33,0.0
34,0.0
35,2.0
36,0.0
37,2.0
38,0.0
39,0.0
40,2.0
41,0.0
42,0.0
43,0.0
44,2.0
45,2.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,2.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,3.0
77,0.0
78,0.0
79,1.0
80,2.0
81,0.0
82,1.0
83,1.0
84,4.0
85,0.0
86,3.0
87,0.0
88,1.0
89,4.0
90,7.0
91,4.0
92,10.0
93,11.0
94,18.0
95,26.0
96,40.0
97,41.0
98,26.0
99,34.0
100,30.0
101,40.0
102,45.0
103,52.0
104,49.0
105,64.0
106,41.0
107,60.0
108,52.0
109,61.0
110,49.0
111,46.0
112,50.0
113,36.0
114,34.0
115,35.0
116,45.0
117,42.0
118,33.0
119,41.0
120,53.0
121,51.0
122,53.0
123,43.0
124,42.0
125,56.0
126,34.0
127,40.0
128,53.0
129,48.0
130,49.0
131,37.0
132,54.0
133,50.0
134,51.0
135,40.0
136,45.0
137,58.0
138,47.0
139,51.0
140,57.0
141,35.0
142,46.0
143,37.0
144,54.0
145,44.0
146,57.0
147,57.0
148,37.0
149,53.0
150,54.0
151,41.0
152,48.0
153,49.0
154,56.0
155,42.0
156,85.0
157,64.0
158,56.0
159,50.0
160,64.0
161,62.0
162,41.0
163,48.0
164,33.0
165,48.0
166,44.0
167,19.0
168,41.0
169,42.0
170,28.0
171,34.0
172,29.0
173,38.0
174,33.0
175,28.0
176,30.0
177,27.0
178,40.0
179,30.0
180,28.0
181,38.0
182,34.0
183,21.0
184,34.0
185,43.0
186,20.0
187,27.0
188,44.0
189,26.0
190,21.0
191,40.0
192,25.0
193,16.0
194,41.0
195,51.0
196,20.0
197,28.0
198,26.0
199,19.0
200,26.0
201,37.0
202,39.0
203,37.0
204,25.0
205,47.0
206,38.0
207,43.0
208,36.0
209,33.0
210,49.0
211,41.0
212,42.0
213,44.0
214,22.0
215,32.0
216,61.0
217,42.0
218,54.0
219,35.0
220,39.0
221,30.0
222,65.0
223,26.0
224,22.0
225,28.0
226,26.0
227,41.0
228,46.0
229,26.0
230,29.0
231,33.0
232,22.0
233,22.0
234,12.0
235,26.0
236,21.0
237,9.0
238,15.0
239,13.0
240,13.0
241,7.0
242,17.0
243,14.0
244,4.0
245,13.0
246,3.0
247,18.0
248,16.0
249,14.0
250,9.0
251,4.0
252,24.0
253,11.0
254,9.0
255,6.0
256,13.0
257,7.0
258,2.0
259,9.0
260,13.0
261,4.0
262,12.0
263,3.0
264,2.0
265,5.0
266,9.0
267,8.0
268,4.0
269,3.0
270,4.0
271,6.0
272,6.0
273,8.0
274,5.0
275,2.0
276,0.0
277,2.0
278,6.0
279,7.0
280,4.0
281,4.0
282,6.0
283,9.0
284,5.0
285,5.0
286,2.0
287,8.0
288,4.0
