arrivaltime,workplace
1,0.0
2,2.0
3,6.0
4,2.0
5,0.0
6,2.0
7,2.0
8,0.0
9,0.0
10,4.0
11,2.0
12,0.0
13,0.0
14,0.0
15,2.0
16,2.0
17,1.0
18,2.0
19,0.0
20,1.0
21,0.0
22,1.0
23,0.0
24,2.0
25,2.0
26,2.0
27,0.0
28,7.0
29,0.0
30,0.0
31,0.0
32,0.0
33,1.0
34,2.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,2.0
43,0.0
44,2.0
45,3.0
46,0.0
47,2.0
48,1.0
49,2.0
50,1.0
51,0.0
52,6.0
53,2.0
54,2.0
55,2.0
56,5.0
57,6.0
58,7.0
59,6.0
60,7.0
61,13.0
62,20.0
63,13.0
64,16.0
65,22.0
66,30.0
67,17.0
68,13.0
69,27.0
70,23.0
71,67.0
72,81.0
73,45.0
74,33.0
75,39.0
76,29.0
77,39.0
78,47.0
79,50.0
80,41.0
81,37.0
82,45.0
83,31.0
84,68.0
85,59.0
86,51.0
87,59.0
88,47.0
89,37.0
90,44.0
91,31.0
92,59.0
93,34.0
94,45.0
95,52.0
96,46.0
97,79.0
98,43.0
99,87.0
100,70.0
101,97.0
102,73.0
103,73.0
104,85.0
105,69.0
106,81.0
107,129.0
108,99.0
109,90.0
110,94.0
111,68.0
112,89.0
113,104.0
114,114.0
115,89.0
116,87.0
117,110.0
118,95.0
119,81.0
120,103.0
121,128.0
122,122.0
123,89.0
124,92.0
125,101.0
126,98.0
127,91.0
128,93.0
129,96.0
130,79.0
131,89.0
132,71.0
133,91.0
134,79.0
135,78.0
136,71.0
137,95.0
138,94.0
139,115.0
140,105.0
141,83.0
142,85.0
143,61.0
144,64.0
145,95.0
146,85.0
147,81.0
148,74.0
149,66.0
150,81.0
151,82.0
152,83.0
153,67.0
154,58.0
155,103.0
156,79.0
157,99.0
158,98.0
159,83.0
160,75.0
161,77.0
162,92.0
163,74.0
164,70.0
165,54.0
166,79.0
167,79.0
168,83.0
169,87.0
170,75.0
171,89.0
172,84.0
173,78.0
174,90.0
175,95.0
176,73.0
177,56.0
178,62.0
179,63.0
180,64.0
181,93.0
182,75.0
183,70.0
184,61.0
185,79.0
186,77.0
187,79.0
188,86.0
189,70.0
190,83.0
191,81.0
192,77.0
193,72.0
194,57.0
195,78.0
196,61.0
197,62.0
198,89.0
199,96.0
200,74.0
201,91.0
202,78.0
203,79.0
204,67.0
205,52.0
206,77.0
207,87.0
208,66.0
209,77.0
210,93.0
211,50.0
212,84.0
213,77.0
214,72.0
215,83.0
216,80.0
217,67.0
218,65.0
219,50.0
220,73.0
221,76.0
222,55.0
223,56.0
224,38.0
225,49.0
226,67.0
227,46.0
228,50.0
229,41.0
230,27.0
231,51.0
232,55.0
233,40.0
234,50.0
235,35.0
236,21.0
237,26.0
238,32.0
239,12.0
240,17.0
241,21.0
242,16.0
243,12.0
244,17.0
245,16.0
246,17.0
247,6.0
248,8.0
249,10.0
250,5.0
251,9.0
252,14.0
253,4.0
254,16.0
255,8.0
256,14.0
257,10.0
258,13.0
259,7.0
260,11.0
261,4.0
262,2.0
263,2.0
264,3.0
265,4.0
266,10.0
267,10.0
268,6.0
269,6.0
270,6.0
271,10.0
272,2.0
273,0.0
274,0.0
275,2.0
276,5.0
277,0.0
278,0.0
279,4.0
280,2.0
281,0.0
282,4.0
283,2.0
284,3.0
285,4.0
286,0.0
287,6.0
288,2.0
