arrivaltime,workplace
1,2.0
2,2.0
3,2.0
4,4.0
5,2.0
6,0.0
7,2.0
8,0.0
9,0.0
10,0.0
11,2.0
12,0.0
13,2.0
14,2.0
15,6.0
16,0.0
17,2.0
18,4.0
19,0.0
20,2.0
21,2.0
22,2.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,4.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,2.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,2.0
70,2.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,2.0
79,0.0
80,0.0
81,0.0
82,2.0
83,2.0
84,0.0
85,0.0
86,2.0
87,1.0
88,0.0
89,0.0
90,0.0
91,1.0
92,1.0
93,7.0
94,0.0
95,6.0
96,7.0
97,8.0
98,4.0
99,8.0
100,3.0
101,4.0
102,8.0
103,4.0
104,5.0
105,2.0
106,2.0
107,7.0
108,5.0
109,5.0
110,3.0
111,0.0
112,2.0
113,3.0
114,9.0
115,5.0
116,1.0
117,3.0
118,5.0
119,15.0
120,5.0
121,5.0
122,3.0
123,5.0
124,7.0
125,10.0
126,8.0
127,9.0
128,11.0
129,0.0
130,7.0
131,9.0
132,4.0
133,10.0
134,12.0
135,8.0
136,7.0
137,11.0
138,3.0
139,7.0
140,13.0
141,10.0
142,3.0
143,2.0
144,15.0
145,16.0
146,12.0
147,4.0
148,1.0
149,14.0
150,14.0
151,12.0
152,5.0
153,6.0
154,7.0
155,6.0
156,14.0
157,17.0
158,10.0
159,14.0
160,14.0
161,18.0
162,17.0
163,9.0
164,6.0
165,16.0
166,8.0
167,20.0
168,16.0
169,6.0
170,8.0
171,6.0
172,8.0
173,8.0
174,7.0
175,6.0
176,12.0
177,12.0
178,4.0
179,19.0
180,2.0
181,8.0
182,9.0
183,8.0
184,2.0
185,11.0
186,4.0
187,4.0
188,13.0
189,6.0
190,10.0
191,9.0
192,10.0
193,5.0
194,16.0
195,7.0
196,4.0
197,6.0
198,10.0
199,9.0
200,2.0
201,7.0
202,10.0
203,0.0
204,15.0
205,7.0
206,6.0
207,4.0
208,6.0
209,10.0
210,9.0
211,2.0
212,2.0
213,2.0
214,4.0
215,0.0
216,0.0
217,0.0
218,2.0
219,6.0
220,2.0
221,3.0
222,4.0
223,2.0
224,2.0
225,4.0
226,1.0
227,2.0
228,0.0
229,4.0
230,5.0
231,0.0
232,0.0
233,0.0
234,2.0
235,3.0
236,2.0
237,1.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,2.0
244,0.0
245,0.0
246,0.0
247,4.0
248,2.0
249,0.0
250,4.0
251,0.0
252,2.0
253,1.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,4.0
260,0.0
261,0.0
262,2.0
263,4.0
264,0.0
265,0.0
266,0.0
267,2.0
268,0.0
269,3.0
270,0.0
271,0.0
272,0.0
273,0.0
274,2.0
275,0.0
276,2.0
277,2.0
278,2.0
279,0.0
280,3.0
281,8.0
282,4.0
283,0.0
284,2.0
285,6.0
286,4.0
287,2.0
288,0.0
