arrivaltime,workplace
1,7.0
2,2.0
3,0.0
4,4.0
5,0.0
6,0.0
7,7.0
8,3.0
9,1.0
10,2.0
11,2.0
12,4.0
13,0.0
14,2.0
15,0.0
16,1.0
17,1.0
18,2.0
19,2.0
20,0.0
21,2.0
22,1.0
23,2.0
24,0.0
25,0.0
26,2.0
27,6.0
28,2.0
29,1.0
30,2.0
31,2.0
32,2.0
33,0.0
34,0.0
35,1.0
36,0.0
37,7.0
38,2.0
39,2.0
40,4.0
41,0.0
42,2.0
43,2.0
44,2.0
45,0.0
46,0.0
47,0.0
48,4.0
49,0.0
50,2.0
51,0.0
52,2.0
53,0.0
54,0.0
55,2.0
56,2.0
57,4.0
58,6.0
59,4.0
60,8.0
61,14.0
62,8.0
63,12.0
64,4.0
65,4.0
66,4.0
67,8.0
68,2.0
69,8.0
70,7.0
71,8.0
72,40.0
73,18.0
74,12.0
75,7.0
76,17.0
77,17.0
78,30.0
79,34.0
80,28.0
81,31.0
82,38.0
83,67.0
84,107.0
85,51.0
86,48.0
87,27.0
88,24.0
89,40.0
90,34.0
91,54.0
92,55.0
93,65.0
94,158.0
95,107.0
96,79.0
97,59.0
98,67.0
99,57.0
100,65.0
101,55.0
102,84.0
103,102.0
104,82.0
105,59.0
106,78.0
107,67.0
108,74.0
109,82.0
110,78.0
111,68.0
112,68.0
113,56.0
114,57.0
115,43.0
116,61.0
117,62.0
118,54.0
119,68.0
120,56.0
121,77.0
122,67.0
123,74.0
124,75.0
125,69.0
126,64.0
127,53.0
128,73.0
129,91.0
130,59.0
131,75.0
132,66.0
133,75.0
134,65.0
135,54.0
136,77.0
137,43.0
138,53.0
139,58.0
140,87.0
141,71.0
142,52.0
143,70.0
144,97.0
145,82.0
146,76.0
147,97.0
148,82.0
149,62.0
150,68.0
151,85.0
152,76.0
153,53.0
154,96.0
155,96.0
156,100.0
157,78.0
158,72.0
159,98.0
160,67.0
161,82.0
162,80.0
163,83.0
164,92.0
165,89.0
166,56.0
167,80.0
168,83.0
169,92.0
170,96.0
171,80.0
172,85.0
173,71.0
174,68.0
175,80.0
176,76.0
177,55.0
178,70.0
179,54.0
180,86.0
181,69.0
182,81.0
183,73.0
184,45.0
185,64.0
186,69.0
187,80.0
188,82.0
189,94.0
190,79.0
191,74.0
192,75.0
193,77.0
194,76.0
195,49.0
196,65.0
197,85.0
198,65.0
199,59.0
200,66.0
201,73.0
202,49.0
203,59.0
204,82.0
205,65.0
206,65.0
207,54.0
208,60.0
209,70.0
210,53.0
211,39.0
212,58.0
213,56.0
214,57.0
215,58.0
216,45.0
217,58.0
218,34.0
219,52.0
220,42.0
221,33.0
222,43.0
223,27.0
224,43.0
225,22.0
226,31.0
227,34.0
228,22.0
229,24.0
230,24.0
231,31.0
232,28.0
233,26.0
234,38.0
235,42.0
236,22.0
237,17.0
238,31.0
239,13.0
240,13.0
241,23.0
242,22.0
243,7.0
244,11.0
245,16.0
246,10.0
247,18.0
248,15.0
249,10.0
250,12.0
251,25.0
252,12.0
253,1.0
254,14.0
255,4.0
256,16.0
257,4.0
258,17.0
259,13.0
260,3.0
261,10.0
262,7.0
263,8.0
264,6.0
265,4.0
266,10.0
267,2.0
268,8.0
269,0.0
270,5.0
271,4.0
272,4.0
273,4.0
274,1.0
275,0.0
276,7.0
277,4.0
278,10.0
279,2.0
280,4.0
281,5.0
282,2.0
283,4.0
284,1.0
285,2.0
286,0.0
287,2.0
288,4.0
