arrivaltime,workplace
1,0.0
2,3.0
3,1.0
4,2.0
5,0.0
6,0.0
7,0.0
8,0.0
9,2.0
10,0.0
11,2.0
12,0.0
13,2.0
14,0.0
15,0.0
16,1.0
17,4.0
18,0.0
19,0.0
20,0.0
21,0.0
22,2.0
23,2.0
24,0.0
25,2.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,1.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,2.0
42,2.0
43,0.0
44,2.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,2.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,1.0
62,0.0
63,2.0
64,3.0
65,4.0
66,33.0
67,102.0
68,32.0
69,13.0
70,4.0
71,23.0
72,59.0
73,34.0
74,39.0
75,40.0
76,56.0
77,55.0
78,44.0
79,39.0
80,21.0
81,45.0
82,23.0
83,57.0
84,109.0
85,142.0
86,31.0
87,24.0
88,24.0
89,32.0
90,38.0
91,43.0
92,32.0
93,38.0
94,76.0
95,81.0
96,94.0
97,80.0
98,40.0
99,45.0
100,61.0
101,45.0
102,65.0
103,100.0
104,51.0
105,79.0
106,113.0
107,84.0
108,46.0
109,53.0
110,39.0
111,51.0
112,29.0
113,40.0
114,32.0
115,59.0
116,49.0
117,49.0
118,52.0
119,49.0
120,43.0
121,41.0
122,61.0
123,37.0
124,61.0
125,60.0
126,36.0
127,53.0
128,31.0
129,38.0
130,59.0
131,63.0
132,52.0
133,58.0
134,24.0
135,43.0
136,54.0
137,45.0
138,38.0
139,75.0
140,44.0
141,34.0
142,59.0
143,35.0
144,53.0
145,48.0
146,41.0
147,46.0
148,34.0
149,27.0
150,32.0
151,38.0
152,27.0
153,36.0
154,47.0
155,57.0
156,79.0
157,58.0
158,65.0
159,47.0
160,54.0
161,57.0
162,52.0
163,43.0
164,50.0
165,29.0
166,40.0
167,43.0
168,40.0
169,29.0
170,45.0
171,45.0
172,37.0
173,38.0
174,35.0
175,40.0
176,41.0
177,31.0
178,30.0
179,42.0
180,35.0
181,43.0
182,26.0
183,32.0
184,50.0
185,54.0
186,51.0
187,24.0
188,40.0
189,39.0
190,70.0
191,54.0
192,69.0
193,40.0
194,33.0
195,102.0
196,113.0
197,72.0
198,63.0
199,54.0
200,67.0
201,52.0
202,54.0
203,48.0
204,49.0
205,62.0
206,48.0
207,49.0
208,32.0
209,60.0
210,69.0
211,55.0
212,62.0
213,91.0
214,60.0
215,77.0
216,60.0
217,55.0
218,36.0
219,21.0
220,47.0
221,32.0
222,50.0
223,33.0
224,32.0
225,45.0
226,37.0
227,46.0
228,35.0
229,36.0
230,28.0
231,16.0
232,27.0
233,28.0
234,23.0
235,12.0
236,20.0
237,10.0
238,9.0
239,17.0
240,8.0
241,12.0
242,11.0
243,6.0
244,7.0
245,5.0
246,8.0
247,9.0
248,9.0
249,9.0
250,5.0
251,4.0
252,6.0
253,8.0
254,7.0
255,0.0
256,2.0
257,4.0
258,3.0
259,2.0
260,1.0
261,2.0
262,4.0
263,5.0
264,2.0
265,3.0
266,1.0
267,4.0
268,2.0
269,6.0
270,0.0
271,3.0
272,0.0
273,1.0
274,2.0
275,0.0
276,2.0
277,0.0
278,0.0
279,1.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,1.0
286,0.0
287,0.0
288,0.0
