arrivaltime,workplace
1,0.0
2,0.0
3,0.0
4,2.0
5,0.0
6,0.0
7,4.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,2.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,2.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,2.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,2.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,2.0
71,0.0
72,2.0
73,0.0
74,0.0
75,0.0
76,2.0
77,0.0
78,0.0
79,4.0
80,6.0
81,6.0
82,0.0
83,0.0
84,2.0
85,0.0
86,6.0
87,2.0
88,0.0
89,0.0
90,4.0
91,0.0
92,2.0
93,0.0
94,8.0
95,2.0
96,8.0
97,4.0
98,6.0
99,4.0
100,0.0
101,4.0
102,6.0
103,6.0
104,10.0
105,2.0
106,12.0
107,12.0
108,8.0
109,2.0
110,6.0
111,4.0
112,0.0
113,2.0
114,4.0
115,2.0
116,4.0
117,2.0
118,4.0
119,10.0
120,4.0
121,4.0
122,2.0
123,10.0
124,4.0
125,8.0
126,4.0
127,12.0
128,4.0
129,0.0
130,4.0
131,2.0
132,10.0
133,6.0
134,0.0
135,2.0
136,2.0
137,8.0
138,0.0
139,4.0
140,0.0
141,6.0
142,4.0
143,10.0
144,10.0
145,8.0
146,2.0
147,0.0
148,6.0
149,10.0
150,10.0
151,6.0
152,6.0
153,6.0
154,6.0
155,2.0
156,2.0
157,2.0
158,6.0
159,2.0
160,4.0
161,8.0
162,6.0
163,0.0
164,0.0
165,4.0
166,4.0
167,2.0
168,2.0
169,6.0
170,6.0
171,10.0
172,6.0
173,4.0
174,4.0
175,6.0
176,2.0
177,2.0
178,10.0
179,2.0
180,8.0
181,4.0
182,0.0
183,0.0
184,8.0
185,0.0
186,0.0
187,8.0
188,10.0
189,4.0
190,2.0
191,6.0
192,2.0
193,12.0
194,8.0
195,6.0
196,8.0
197,8.0
198,0.0
199,8.0
200,8.0
201,2.0
202,6.0
203,6.0
204,6.0
205,0.0
206,4.0
207,2.0
208,12.0
209,10.0
210,20.0
211,8.0
212,4.0
213,0.0
214,16.0
215,6.0
216,10.0
217,12.0
218,8.0
219,4.0
220,6.0
221,12.0
222,4.0
223,18.0
224,8.0
225,6.0
226,4.0
227,6.0
228,4.0
229,2.0
230,10.0
231,12.0
232,8.0
233,8.0
234,10.0
235,8.0
236,0.0
237,4.0
238,2.0
239,0.0
240,6.0
241,2.0
242,2.0
243,4.0
244,4.0
245,8.0
246,2.0
247,4.0
248,4.0
249,0.0
250,6.0
251,4.0
252,8.0
253,4.0
254,2.0
255,4.0
256,6.0
257,0.0
258,4.0
259,2.0
260,2.0
261,0.0
262,2.0
263,6.0
264,4.0
265,0.0
266,6.0
267,2.0
268,0.0
269,4.0
270,2.0
271,0.0
272,0.0
273,4.0
274,2.0
275,4.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,2.0
282,2.0
283,0.0
284,2.0
285,4.0
286,0.0
287,0.0
288,0.0
