arrivaltime,workplace
1,2.0
2,0.0
3,0.0
4,2.0
5,0.0
6,2.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,2.0
13,2.0
14,0.0
15,2.0
16,2.0
17,0.0
18,0.0
19,0.0
20,2.0
21,0.0
22,0.0
23,2.0
24,0.0
25,0.0
26,2.0
27,0.0
28,2.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,2.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,1.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,2.0
61,0.0
62,0.0
63,0.0
64,2.0
65,0.0
66,55.0
67,47.0
68,9.0
69,15.0
70,16.0
71,21.0
72,82.0
73,24.0
74,19.0
75,22.0
76,34.0
77,20.0
78,14.0
79,28.0
80,31.0
81,27.0
82,98.0
83,141.0
84,59.0
85,65.0
86,53.0
87,56.0
88,86.0
89,75.0
90,44.0
91,58.0
92,39.0
93,72.0
94,198.0
95,188.0
96,157.0
97,109.0
98,102.0
99,101.0
100,145.0
101,116.0
102,140.0
103,128.0
104,162.0
105,161.0
106,176.0
107,213.0
108,201.0
109,135.0
110,94.0
111,111.0
112,74.0
113,97.0
114,86.0
115,48.0
116,68.0
117,71.0
118,74.0
119,76.0
120,89.0
121,105.0
122,107.0
123,97.0
124,83.0
125,113.0
126,85.0
127,125.0
128,139.0
129,111.0
130,67.0
131,80.0
132,101.0
133,98.0
134,75.0
135,73.0
136,72.0
137,98.0
138,106.0
139,64.0
140,97.0
141,68.0
142,101.0
143,106.0
144,92.0
145,130.0
146,70.0
147,80.0
148,100.0
149,68.0
150,90.0
151,64.0
152,67.0
153,54.0
154,82.0
155,58.0
156,94.0
157,74.0
158,54.0
159,87.0
160,88.0
161,84.0
162,111.0
163,66.0
164,65.0
165,77.0
166,67.0
167,60.0
168,59.0
169,78.0
170,76.0
171,92.0
172,100.0
173,86.0
174,69.0
175,67.0
176,59.0
177,90.0
178,44.0
179,99.0
180,119.0
181,91.0
182,89.0
183,106.0
184,95.0
185,131.0
186,98.0
187,77.0
188,91.0
189,103.0
190,131.0
191,108.0
192,100.0
193,104.0
194,109.0
195,112.0
196,132.0
197,102.0
198,109.0
199,121.0
200,108.0
201,115.0
202,92.0
203,114.0
204,130.0
205,112.0
206,123.0
207,117.0
208,99.0
209,126.0
210,119.0
211,119.0
212,113.0
213,124.0
214,99.0
215,100.0
216,111.0
217,120.0
218,81.0
219,60.0
220,70.0
221,38.0
222,65.0
223,67.0
224,54.0
225,59.0
226,82.0
227,54.0
228,69.0
229,79.0
230,70.0
231,63.0
232,51.0
233,85.0
234,67.0
235,57.0
236,43.0
237,57.0
238,42.0
239,37.0
240,36.0
241,38.0
242,40.0
243,43.0
244,24.0
245,21.0
246,26.0
247,25.0
248,30.0
249,18.0
250,10.0
251,25.0
252,5.0
253,17.0
254,6.0
255,21.0
256,14.0
257,6.0
258,5.0
259,12.0
260,8.0
261,6.0
262,10.0
263,6.0
264,10.0
265,5.0
266,6.0
267,4.0
268,8.0
269,8.0
270,4.0
271,2.0
272,4.0
273,4.0
274,1.0
275,4.0
276,4.0
277,2.0
278,0.0
279,6.0
280,0.0
281,2.0
282,2.0
283,2.0
284,0.0
285,6.0
286,2.0
287,0.0
288,0.0
