arrivaltime,workplace
1,0.0
2,0.0
3,0.0
4,0.0
5,2.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,1.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,1.0
57,0.0
58,0.0
59,0.0
60,2.0
61,0.0
62,0.0
63,2.0
64,2.0
65,2.0
66,0.0
67,3.0
68,7.0
69,1.0
70,0.0
71,0.0
72,4.0
73,9.0
74,10.0
75,6.0
76,6.0
77,11.0
78,13.0
79,47.0
80,24.0
81,11.0
82,11.0
83,9.0
84,22.0
85,11.0
86,14.0
87,8.0
88,17.0
89,21.0
90,32.0
91,17.0
92,24.0
93,22.0
94,14.0
95,30.0
96,33.0
97,65.0
98,46.0
99,51.0
100,43.0
101,38.0
102,48.0
103,50.0
104,25.0
105,30.0
106,16.0
107,26.0
108,32.0
109,26.0
110,31.0
111,23.0
112,14.0
113,27.0
114,31.0
115,27.0
116,31.0
117,15.0
118,20.0
119,21.0
120,19.0
121,13.0
122,23.0
123,19.0
124,26.0
125,29.0
126,19.0
127,23.0
128,16.0
129,24.0
130,22.0
131,29.0
132,35.0
133,30.0
134,26.0
135,29.0
136,36.0
137,23.0
138,31.0
139,28.0
140,22.0
141,35.0
142,30.0
143,31.0
144,36.0
145,29.0
146,17.0
147,18.0
148,25.0
149,14.0
150,31.0
151,33.0
152,21.0
153,19.0
154,25.0
155,23.0
156,29.0
157,16.0
158,23.0
159,32.0
160,18.0
161,44.0
162,35.0
163,12.0
164,31.0
165,31.0
166,24.0
167,40.0
168,28.0
169,30.0
170,27.0
171,23.0
172,38.0
173,27.0
174,19.0
175,21.0
176,28.0
177,30.0
178,21.0
179,17.0
180,28.0
181,17.0
182,20.0
183,24.0
184,38.0
185,15.0
186,29.0
187,30.0
188,22.0
189,28.0
190,29.0
191,20.0
192,35.0
193,14.0
194,21.0
195,35.0
196,31.0
197,28.0
198,22.0
199,26.0
200,23.0
201,26.0
202,36.0
203,31.0
204,22.0
205,35.0
206,37.0
207,19.0
208,37.0
209,35.0
210,40.0
211,21.0
212,20.0
213,32.0
214,26.0
215,26.0
216,30.0
217,15.0
218,30.0
219,27.0
220,34.0
221,27.0
222,22.0
223,16.0
224,31.0
225,28.0
226,32.0
227,29.0
228,31.0
229,12.0
230,13.0
231,12.0
232,12.0
233,14.0
234,8.0
235,4.0
236,12.0
237,11.0
238,9.0
239,11.0
240,6.0
241,11.0
242,5.0
243,12.0
244,13.0
245,11.0
246,8.0
247,6.0
248,9.0
249,4.0
250,2.0
251,1.0
252,3.0
253,1.0
254,2.0
255,1.0
256,1.0
257,4.0
258,0.0
259,0.0
260,2.0
261,2.0
262,0.0
263,0.0
264,4.0
265,2.0
266,1.0
267,2.0
268,0.0
269,0.0
270,1.0
271,6.0
272,0.0
273,1.0
274,0.0
275,0.0
276,0.0
277,4.0
278,0.0
279,1.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,3.0
288,0.0
