arrivaltime,workplace
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,1.0
70,0.0
71,0.0
72,7.0
73,9.0
74,3.0
75,2.0
76,2.0
77,0.0
78,0.0
79,0.0
80,2.0
81,0.0
82,2.0
83,0.0
84,0.0
85,0.0
86,2.0
87,0.0
88,4.0
89,2.0
90,1.0
91,4.0
92,4.0
93,2.0
94,0.0
95,0.0
96,2.0
97,2.0
98,2.0
99,0.0
100,0.0
101,4.0
102,4.0
103,0.0
104,2.0
105,2.0
106,2.0
107,11.0
108,6.0
109,2.0
110,11.0
111,4.0
112,5.0
113,6.0
114,0.0
115,0.0
116,2.0
117,2.0
118,4.0
119,4.0
120,2.0
121,6.0
122,11.0
123,0.0
124,4.0
125,6.0
126,0.0
127,4.0
128,4.0
129,6.0
130,2.0
131,2.0
132,8.0
133,0.0
134,4.0
135,4.0
136,6.0
137,1.0
138,13.0
139,6.0
140,4.0
141,4.0
142,4.0
143,8.0
144,0.0
145,4.0
146,1.0
147,1.0
148,2.0
149,2.0
150,4.0
151,0.0
152,0.0
153,2.0
154,3.0
155,2.0
156,5.0
157,10.0
158,2.0
159,7.0
160,4.0
161,2.0
162,11.0
163,10.0
164,5.0
165,4.0
166,8.0
167,4.0
168,12.0
169,7.0
170,4.0
171,3.0
172,10.0
173,2.0
174,6.0
175,7.0
176,2.0
177,5.0
178,3.0
179,3.0
180,4.0
181,3.0
182,2.0
183,2.0
184,6.0
185,9.0
186,4.0
187,0.0
188,8.0
189,6.0
190,0.0
191,4.0
192,2.0
193,2.0
194,7.0
195,4.0
196,2.0
197,6.0
198,2.0
199,4.0
200,4.0
201,6.0
202,0.0
203,1.0
204,5.0
205,5.0
206,4.0
207,4.0
208,6.0
209,4.0
210,7.0
211,4.0
212,4.0
213,0.0
214,6.0
215,2.0
216,0.0
217,4.0
218,10.0
219,0.0
220,0.0
221,0.0
222,0.0
223,4.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,2.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,1.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
