arrivaltime,workplace
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,2.0
13,0.0
14,2.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,2.0
25,2.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,2.0
35,0.0
36,0.0
37,1.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,1.0
46,0.0
47,0.0
48,0.0
49,1.0
50,0.0
51,0.0
52,0.0
53,2.0
54,0.0
55,3.0
56,0.0
57,0.0
58,0.0
59,0.0
60,2.0
61,0.0
62,4.0
63,0.0
64,1.0
65,2.0
66,0.0
67,3.0
68,0.0
69,2.0
70,2.0
71,10.0
72,5.0
73,13.0
74,14.0
75,18.0
76,39.0
77,27.0
78,37.0
79,38.0
80,34.0
81,67.0
82,53.0
83,57.0
84,49.0
85,48.0
86,49.0
87,58.0
88,36.0
89,26.0
90,27.0
91,33.0
92,31.0
93,22.0
94,27.0
95,45.0
96,54.0
97,33.0
98,26.0
99,20.0
100,33.0
101,40.0
102,46.0
103,33.0
104,26.0
105,48.0
106,26.0
107,22.0
108,44.0
109,45.0
110,32.0
111,23.0
112,30.0
113,35.0
114,27.0
115,25.0
116,35.0
117,24.0
118,31.0
119,50.0
120,30.0
121,29.0
122,14.0
123,23.0
124,23.0
125,25.0
126,34.0
127,23.0
128,19.0
129,37.0
130,19.0
131,20.0
132,31.0
133,23.0
134,39.0
135,27.0
136,16.0
137,26.0
138,19.0
139,23.0
140,28.0
141,18.0
142,18.0
143,19.0
144,27.0
145,21.0
146,46.0
147,35.0
148,28.0
149,25.0
150,21.0
151,19.0
152,41.0
153,25.0
154,27.0
155,18.0
156,35.0
157,23.0
158,25.0
159,22.0
160,24.0
161,10.0
162,23.0
163,12.0
164,16.0
165,20.0
166,15.0
167,39.0
168,21.0
169,22.0
170,27.0
171,8.0
172,29.0
173,25.0
174,24.0
175,25.0
176,20.0
177,32.0
178,21.0
179,20.0
180,28.0
181,25.0
182,26.0
183,20.0
184,18.0
185,18.0
186,19.0
187,25.0
188,17.0
189,28.0
190,34.0
191,26.0
192,22.0
193,36.0
194,35.0
195,32.0
196,44.0
197,31.0
198,36.0
199,34.0
200,26.0
201,46.0
202,47.0
203,43.0
204,30.0
205,32.0
206,40.0
207,20.0
208,32.0
209,41.0
210,40.0
211,23.0
212,36.0
213,50.0
214,31.0
215,23.0
216,30.0
217,25.0
218,30.0
219,28.0
220,20.0
221,18.0
222,15.0
223,17.0
224,13.0
225,10.0
226,18.0
227,8.0
228,12.0
229,8.0
230,15.0
231,2.0
232,25.0
233,22.0
234,37.0
235,17.0
236,9.0
237,8.0
238,5.0
239,2.0
240,6.0
241,11.0
242,5.0
243,0.0
244,0.0
245,7.0
246,4.0
247,5.0
248,5.0
249,3.0
250,3.0
251,2.0
252,0.0
253,8.0
254,2.0
255,2.0
256,0.0
257,2.0
258,1.0
259,3.0
260,1.0
261,0.0
262,2.0
263,0.0
264,2.0
265,0.0
266,0.0
267,2.0
268,5.0
269,4.0
270,0.0
271,0.0
272,0.0
273,2.0
274,0.0
275,2.0
276,0.0
277,0.0
278,0.0
279,2.0
280,0.0
281,2.0
282,2.0
283,0.0
284,0.0
285,1.0
286,0.0
287,0.0
288,0.0
