arrivaltime,workplace
1,0.0
2,2.0
3,0.0
4,0.0
5,2.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,2.0
29,0.0
30,2.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,2.0
61,0.0
62,0.0
63,0.0
64,2.0
65,0.0
66,2.0
67,0.0
68,0.0
69,0.0
70,2.0
71,0.0
72,0.0
73,0.0
74,0.0
75,2.0
76,0.0
77,0.0
78,0.0
79,2.0
80,2.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,2.0
87,2.0
88,2.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,2.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,2.0
102,2.0
103,0.0
104,2.0
105,6.0
106,4.0
107,4.0
108,2.0
109,0.0
110,0.0
111,0.0
112,2.0
113,0.0
114,2.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,2.0
124,0.0
125,0.0
126,0.0
127,2.0
128,2.0
129,0.0
130,2.0
131,0.0
132,0.0
133,0.0
134,2.0
135,2.0
136,2.0
137,6.0
138,6.0
139,2.0
140,2.0
141,4.0
142,0.0
143,8.0
144,2.0
145,0.0
146,4.0
147,0.0
148,2.0
149,6.0
150,0.0
151,0.0
152,0.0
153,2.0
154,0.0
155,0.0
156,0.0
157,4.0
158,0.0
159,0.0
160,2.0
161,4.0
162,0.0
163,4.0
164,0.0
165,0.0
166,2.0
167,0.0
168,0.0
169,0.0
170,2.0
171,0.0
172,8.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,2.0
180,2.0
181,8.0
182,8.0
183,4.0
184,4.0
185,4.0
186,2.0
187,0.0
188,4.0
189,4.0
190,6.0
191,0.0
192,4.0
193,4.0
194,0.0
195,0.0
196,2.0
197,0.0
198,0.0
199,2.0
200,0.0
201,2.0
202,2.0
203,4.0
204,0.0
205,8.0
206,6.0
207,6.0
208,0.0
209,2.0
210,4.0
211,0.0
212,6.0
213,10.0
214,2.0
215,4.0
216,2.0
217,4.0
218,2.0
219,4.0
220,6.0
221,4.0
222,4.0
223,2.0
224,4.0
225,2.0
226,0.0
227,0.0
228,0.0
229,2.0
230,2.0
231,0.0
232,0.0
233,2.0
234,0.0
235,2.0
236,2.0
237,2.0
238,4.0
239,2.0
240,2.0
241,2.0
242,2.0
243,2.0
244,2.0
245,4.0
246,4.0
247,0.0
248,2.0
249,2.0
250,0.0
251,2.0
252,2.0
253,0.0
254,0.0
255,2.0
256,2.0
257,0.0
258,2.0
259,0.0
260,2.0
261,8.0
262,0.0
263,0.0
264,6.0
265,2.0
266,0.0
267,2.0
268,0.0
269,2.0
270,2.0
271,0.0
272,2.0
273,0.0
274,2.0
275,0.0
276,0.0
277,0.0
278,2.0
279,4.0
280,4.0
281,4.0
282,0.0
283,2.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
