arrivaltime,workplace
1,0.0
2,0.0
3,2.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,2.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,2.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,2.0
70,0.0
71,2.0
72,0.0
73,2.0
74,6.0
75,2.0
76,2.0
77,12.0
78,20.0
79,12.0
80,18.0
81,10.0
82,16.0
83,18.0
84,14.0
85,12.0
86,8.0
87,16.0
88,8.0
89,16.0
90,6.0
91,10.0
92,8.0
93,10.0
94,4.0
95,4.0
96,4.0
97,4.0
98,12.0
99,8.0
100,12.0
101,10.0
102,12.0
103,10.0
104,34.0
105,28.0
106,22.0
107,16.0
108,20.0
109,10.0
110,4.0
111,12.0
112,12.0
113,24.0
114,24.0
115,6.0
116,18.0
117,18.0
118,18.0
119,28.0
120,14.0
121,14.0
122,10.0
123,10.0
124,14.0
125,12.0
126,16.0
127,20.0
128,14.0
129,26.0
130,18.0
131,12.0
132,20.0
133,24.0
134,14.0
135,8.0
136,28.0
137,22.0
138,32.0
139,20.0
140,18.0
141,24.0
142,32.0
143,30.0
144,18.0
145,38.0
146,38.0
147,32.0
148,32.0
149,52.0
150,32.0
151,38.0
152,44.0
153,14.0
154,42.0
155,38.0
156,24.0
157,30.0
158,28.0
159,18.0
160,28.0
161,22.0
162,46.0
163,32.0
164,12.0
165,10.0
166,22.0
167,32.0
168,36.0
169,26.0
170,20.0
171,14.0
172,4.0
173,18.0
174,16.0
175,16.0
176,8.0
177,18.0
178,22.0
179,28.0
180,12.0
181,32.0
182,26.0
183,8.0
184,8.0
185,12.0
186,26.0
187,14.0
188,20.0
189,12.0
190,16.0
191,16.0
192,22.0
193,14.0
194,18.0
195,12.0
196,18.0
197,26.0
198,18.0
199,26.0
200,10.0
201,14.0
202,36.0
203,40.0
204,42.0
205,42.0
206,22.0
207,32.0
208,24.0
209,46.0
210,44.0
211,44.0
212,56.0
213,46.0
214,54.0
215,34.0
216,28.0
217,28.0
218,60.0
219,32.0
220,36.0
221,48.0
222,54.0
223,42.0
224,24.0
225,34.0
226,26.0
227,34.0
228,32.0
229,32.0
230,24.0
231,28.0
232,24.0
233,26.0
234,16.0
235,20.0
236,24.0
237,18.0
238,18.0
239,10.0
240,16.0
241,16.0
242,14.0
243,2.0
244,14.0
245,10.0
246,18.0
247,10.0
248,12.0
249,4.0
250,2.0
251,4.0
252,2.0
253,0.0
254,2.0
255,10.0
256,14.0
257,4.0
258,2.0
259,8.0
260,2.0
261,2.0
262,0.0
263,6.0
264,0.0
265,2.0
266,0.0
267,2.0
268,4.0
269,0.0
270,2.0
271,0.0
272,0.0
273,0.0
274,2.0
275,2.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,2.0
284,2.0
285,0.0
286,0.0
287,0.0
288,0.0
