arrivaltime,workplace
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,2.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,2.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,2.0
75,2.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,2.0
85,4.0
86,10.0
87,6.0
88,10.0
89,12.0
90,6.0
91,6.0
92,14.0
93,12.0
94,12.0
95,34.0
96,26.0
97,8.0
98,12.0
99,16.0
100,22.0
101,8.0
102,26.0
103,24.0
104,38.0
105,36.0
106,38.0
107,46.0
108,26.0
109,32.0
110,26.0
111,28.0
112,20.0
113,34.0
114,32.0
115,38.0
116,40.0
117,28.0
118,46.0
119,38.0
120,36.0
121,36.0
122,36.0
123,38.0
124,22.0
125,36.0
126,44.0
127,34.0
128,50.0
129,44.0
130,24.0
131,68.0
132,72.0
133,60.0
134,56.0
135,52.0
136,50.0
137,34.0
138,48.0
139,54.0
140,72.0
141,68.0
142,58.0
143,82.0
144,86.0
145,92.0
146,54.0
147,50.0
148,60.0
149,108.0
150,66.0
151,76.0
152,58.0
153,70.0
154,72.0
155,82.0
156,58.0
157,58.0
158,50.0
159,38.0
160,54.0
161,64.0
162,70.0
163,40.0
164,78.0
165,74.0
166,50.0
167,68.0
168,46.0
169,36.0
170,48.0
171,50.0
172,32.0
173,50.0
174,44.0
175,28.0
176,44.0
177,50.0
178,60.0
179,48.0
180,52.0
181,42.0
182,48.0
183,42.0
184,28.0
185,52.0
186,40.0
187,40.0
188,42.0
189,42.0
190,42.0
191,70.0
192,70.0
193,48.0
194,44.0
195,42.0
196,40.0
197,54.0
198,58.0
199,42.0
200,60.0
201,54.0
202,44.0
203,52.0
204,46.0
205,68.0
206,66.0
207,60.0
208,76.0
209,60.0
210,72.0
211,86.0
212,72.0
213,68.0
214,76.0
215,94.0
216,82.0
217,102.0
218,78.0
219,90.0
220,74.0
221,96.0
222,60.0
223,92.0
224,82.0
225,86.0
226,60.0
227,42.0
228,46.0
229,76.0
230,60.0
231,54.0
232,52.0
233,42.0
234,46.0
235,34.0
236,32.0
237,30.0
238,24.0
239,26.0
240,16.0
241,24.0
242,14.0
243,12.0
244,8.0
245,12.0
246,10.0
247,14.0
248,10.0
249,18.0
250,6.0
251,6.0
252,8.0
253,8.0
254,6.0
255,6.0
256,4.0
257,4.0
258,8.0
259,8.0
260,2.0
261,2.0
262,2.0
263,0.0
264,4.0
265,2.0
266,0.0
267,2.0
268,0.0
269,4.0
270,0.0
271,2.0
272,4.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,2.0
280,0.0
281,2.0
282,2.0
283,0.0
284,2.0
285,0.0
286,0.0
287,0.0
288,0.0
