arrivaltime,workplace
1,2.0
2,2.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,2.0
10,2.0
11,2.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,2.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,2.0
64,0.0
65,0.0
66,2.0
67,2.0
68,0.0
69,0.0
70,0.0
71,0.0
72,2.0
73,0.0
74,0.0
75,0.0
76,2.0
77,2.0
78,2.0
79,8.0
80,6.0
81,8.0
82,6.0
83,4.0
84,8.0
85,10.0
86,10.0
87,6.0
88,14.0
89,12.0
90,4.0
91,14.0
92,16.0
93,14.0
94,16.0
95,22.0
96,30.0
97,40.0
98,28.0
99,38.0
100,162.0
101,76.0
102,56.0
103,50.0
104,58.0
105,40.0
106,48.0
107,38.0
108,52.0
109,26.0
110,44.0
111,52.0
112,48.0
113,32.0
114,38.0
115,38.0
116,36.0
117,20.0
118,22.0
119,22.0
120,32.0
121,16.0
122,16.0
123,22.0
124,16.0
125,20.0
126,18.0
127,28.0
128,20.0
129,16.0
130,20.0
131,20.0
132,20.0
133,24.0
134,16.0
135,28.0
136,20.0
137,24.0
138,20.0
139,30.0
140,24.0
141,22.0
142,36.0
143,38.0
144,24.0
145,28.0
146,30.0
147,18.0
148,34.0
149,16.0
150,40.0
151,20.0
152,30.0
153,28.0
154,18.0
155,18.0
156,26.0
157,12.0
158,18.0
159,22.0
160,24.0
161,26.0
162,24.0
163,30.0
164,22.0
165,36.0
166,22.0
167,14.0
168,18.0
169,28.0
170,18.0
171,12.0
172,16.0
173,4.0
174,12.0
175,12.0
176,12.0
177,8.0
178,10.0
179,16.0
180,12.0
181,12.0
182,8.0
183,10.0
184,8.0
185,14.0
186,12.0
187,8.0
188,12.0
189,14.0
190,24.0
191,12.0
192,10.0
193,10.0
194,8.0
195,8.0
196,10.0
197,12.0
198,6.0
199,6.0
200,10.0
201,6.0
202,2.0
203,10.0
204,6.0
205,12.0
206,14.0
207,10.0
208,0.0
209,2.0
210,10.0
211,16.0
212,18.0
213,8.0
214,12.0
215,10.0
216,4.0
217,4.0
218,8.0
219,6.0
220,20.0
221,20.0
222,12.0
223,14.0
224,14.0
225,2.0
226,12.0
227,14.0
228,8.0
229,4.0
230,6.0
231,4.0
232,8.0
233,6.0
234,2.0
235,10.0
236,0.0
237,0.0
238,4.0
239,4.0
240,2.0
241,2.0
242,4.0
243,6.0
244,4.0
245,2.0
246,0.0
247,2.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,2.0
254,2.0
255,0.0
256,2.0
257,2.0
258,2.0
259,2.0
260,2.0
261,6.0
262,0.0
263,4.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,2.0
275,6.0
276,2.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,2.0
288,0.0
