arrivaltime,workplace
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,2.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,2.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,2.0
78,0.0
79,4.0
80,4.0
81,8.0
82,4.0
83,4.0
84,0.0
85,8.0
86,6.0
87,0.0
88,8.0
89,10.0
90,4.0
91,0.0
92,12.0
93,8.0
94,6.0
95,18.0
96,14.0
97,10.0
98,18.0
99,24.0
100,8.0
101,10.0
102,36.0
103,24.0
104,20.0
105,38.0
106,34.0
107,30.0
108,18.0
109,28.0
110,32.0
111,28.0
112,24.0
113,30.0
114,22.0
115,28.0
116,10.0
117,18.0
118,20.0
119,20.0
120,8.0
121,16.0
122,22.0
123,26.0
124,16.0
125,20.0
126,16.0
127,34.0
128,34.0
129,26.0
130,36.0
131,28.0
132,30.0
133,22.0
134,28.0
135,50.0
136,34.0
137,54.0
138,46.0
139,32.0
140,24.0
141,36.0
142,34.0
143,30.0
144,24.0
145,38.0
146,36.0
147,28.0
148,30.0
149,44.0
150,34.0
151,38.0
152,36.0
153,36.0
154,24.0
155,34.0
156,24.0
157,30.0
158,24.0
159,22.0
160,34.0
161,32.0
162,32.0
163,38.0
164,50.0
165,20.0
166,34.0
167,24.0
168,14.0
169,32.0
170,20.0
171,34.0
172,28.0
173,28.0
174,28.0
175,30.0
176,12.0
177,26.0
178,18.0
179,32.0
180,16.0
181,24.0
182,12.0
183,30.0
184,16.0
185,20.0
186,28.0
187,20.0
188,22.0
189,18.0
190,32.0
191,20.0
192,22.0
193,12.0
194,12.0
195,20.0
196,10.0
197,22.0
198,20.0
199,14.0
200,12.0
201,12.0
202,4.0
203,32.0
204,28.0
205,18.0
206,14.0
207,8.0
208,16.0
209,22.0
210,20.0
211,18.0
212,6.0
213,8.0
214,8.0
215,18.0
216,24.0
217,18.0
218,24.0
219,12.0
220,8.0
221,6.0
222,14.0
223,10.0
224,12.0
225,10.0
226,8.0
227,8.0
228,18.0
229,16.0
230,18.0
231,12.0
232,26.0
233,8.0
234,10.0
235,12.0
236,8.0
237,10.0
238,8.0
239,8.0
240,6.0
241,8.0
242,4.0
243,4.0
244,0.0
245,4.0
246,6.0
247,6.0
248,4.0
249,2.0
250,2.0
251,0.0
252,2.0
253,2.0
254,0.0
255,6.0
256,2.0
257,2.0
258,4.0
259,0.0
260,0.0
261,2.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
