arrivaltime,workplace
1,0.0
2,4.0
3,0.0
4,2.0
5,4.0
6,0.0
7,0.0
8,0.0
9,2.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,2.0
23,0.0
24,0.0
25,0.0
26,0.0
27,2.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,2.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,2.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,2.0
63,0.0
64,0.0
65,0.0
66,4.0
67,4.0
68,0.0
69,0.0
70,2.0
71,0.0
72,0.0
73,0.0
74,0.0
75,4.0
76,2.0
77,8.0
78,18.0
79,6.0
80,2.0
81,6.0
82,2.0
83,16.0
84,8.0
85,8.0
86,4.0
87,14.0
88,12.0
89,14.0
90,18.0
91,12.0
92,8.0
93,8.0
94,18.0
95,38.0
96,70.0
97,40.0
98,22.0
99,22.0
100,24.0
101,30.0
102,22.0
103,10.0
104,34.0
105,10.0
106,18.0
107,32.0
108,32.0
109,26.0
110,30.0
111,20.0
112,32.0
113,44.0
114,30.0
115,22.0
116,14.0
117,18.0
118,26.0
119,28.0
120,34.0
121,20.0
122,32.0
123,14.0
124,26.0
125,38.0
126,24.0
127,28.0
128,14.0
129,12.0
130,36.0
131,26.0
132,24.0
133,24.0
134,12.0
135,10.0
136,26.0
137,18.0
138,34.0
139,26.0
140,20.0
141,16.0
142,34.0
143,28.0
144,36.0
145,36.0
146,34.0
147,36.0
148,16.0
149,14.0
150,32.0
151,22.0
152,48.0
153,14.0
154,32.0
155,26.0
156,26.0
157,28.0
158,26.0
159,22.0
160,30.0
161,26.0
162,22.0
163,18.0
164,16.0
165,22.0
166,18.0
167,24.0
168,28.0
169,30.0
170,22.0
171,22.0
172,22.0
173,24.0
174,32.0
175,20.0
176,12.0
177,20.0
178,14.0
179,14.0
180,22.0
181,16.0
182,24.0
183,20.0
184,22.0
185,16.0
186,18.0
187,10.0
188,18.0
189,32.0
190,22.0
191,30.0
192,18.0
193,10.0
194,34.0
195,22.0
196,20.0
197,32.0
198,32.0
199,32.0
200,20.0
201,30.0
202,30.0
203,38.0
204,48.0
205,40.0
206,26.0
207,20.0
208,28.0
209,10.0
210,14.0
211,14.0
212,18.0
213,14.0
214,22.0
215,24.0
216,18.0
217,26.0
218,16.0
219,8.0
220,16.0
221,12.0
222,18.0
223,16.0
224,10.0
225,18.0
226,14.0
227,8.0
228,10.0
229,16.0
230,6.0
231,12.0
232,10.0
233,20.0
234,14.0
235,14.0
236,6.0
237,12.0
238,4.0
239,8.0
240,8.0
241,2.0
242,6.0
243,4.0
244,4.0
245,20.0
246,12.0
247,10.0
248,6.0
249,12.0
250,2.0
251,10.0
252,2.0
253,2.0
254,2.0
255,2.0
256,2.0
257,2.0
258,0.0
259,10.0
260,6.0
261,4.0
262,6.0
263,2.0
264,12.0
265,2.0
266,2.0
267,2.0
268,2.0
269,0.0
270,0.0
271,0.0
272,2.0
273,6.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,2.0
280,2.0
281,0.0
282,2.0
283,0.0
284,0.0
285,2.0
286,0.0
287,2.0
288,0.0
