arrivaltime,workplace
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,1.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,2.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,1.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,2.0
84,3.0
85,0.0
86,0.0
87,1.0
88,0.0
89,0.0
90,1.0
91,0.0
92,1.0
93,2.0
94,3.0
95,2.0
96,4.0
97,5.0
98,6.0
99,6.0
100,3.0
101,7.0
102,8.0
103,3.0
104,6.0
105,10.0
106,7.0
107,6.0
108,2.0
109,3.0
110,2.0
111,7.0
112,5.0
113,4.0
114,3.0
115,4.0
116,3.0
117,3.0
118,2.0
119,1.0
120,3.0
121,2.0
122,7.0
123,2.0
124,8.0
125,9.0
126,9.0
127,3.0
128,6.0
129,6.0
130,4.0
131,2.0
132,2.0
133,6.0
134,4.0
135,8.0
136,2.0
137,6.0
138,7.0
139,6.0
140,4.0
141,0.0
142,9.0
143,3.0
144,6.0
145,7.0
146,7.0
147,8.0
148,3.0
149,2.0
150,7.0
151,5.0
152,12.0
153,9.0
154,9.0
155,2.0
156,7.0
157,1.0
158,13.0
159,5.0
160,3.0
161,3.0
162,3.0
163,6.0
164,4.0
165,1.0
166,7.0
167,3.0
168,2.0
169,0.0
170,2.0
171,2.0
172,3.0
173,7.0
174,8.0
175,2.0
176,7.0
177,8.0
178,6.0
179,3.0
180,2.0
181,2.0
182,0.0
183,3.0
184,4.0
185,8.0
186,2.0
187,3.0
188,1.0
189,1.0
190,4.0
191,3.0
192,11.0
193,2.0
194,4.0
195,4.0
196,5.0
197,4.0
198,7.0
199,3.0
200,1.0
201,5.0
202,3.0
203,1.0
204,2.0
205,2.0
206,9.0
207,14.0
208,3.0
209,5.0
210,5.0
211,7.0
212,9.0
213,14.0
214,9.0
215,13.0
216,5.0
217,12.0
218,9.0
219,10.0
220,6.0
221,5.0
222,6.0
223,3.0
224,8.0
225,5.0
226,6.0
227,4.0
228,5.0
229,3.0
230,7.0
231,6.0
232,6.0
233,8.0
234,7.0
235,7.0
236,6.0
237,4.0
238,3.0
239,2.0
240,8.0
241,2.0
242,2.0
243,6.0
244,2.0
245,1.0
246,1.0
247,3.0
248,1.0
249,2.0
250,0.0
251,5.0
252,0.0
253,0.0
254,2.0
255,0.0
256,0.0
257,0.0
258,1.0
259,2.0
260,0.0
261,1.0
262,2.0
263,4.0
264,0.0
265,1.0
266,1.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,1.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,1.0
286,0.0
287,0.0
288,0.0
