arrivaltime,workplace
1,0.0
2,0.0
3,1.0
4,0.0
5,1.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,1.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,1.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,2.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,5.0
84,6.0
85,9.0
86,7.0
87,8.0
88,8.0
89,3.0
90,0.0
91,1.0
92,3.0
93,2.0
94,5.0
95,5.0
96,15.0
97,5.0
98,2.0
99,3.0
100,6.0
101,5.0
102,4.0
103,7.0
104,14.0
105,4.0
106,8.0
107,11.0
108,19.0
109,18.0
110,15.0
111,12.0
112,20.0
113,10.0
114,9.0
115,6.0
116,7.0
117,3.0
118,6.0
119,11.0
120,4.0
121,8.0
122,11.0
123,9.0
124,8.0
125,3.0
126,0.0
127,7.0
128,4.0
129,2.0
130,7.0
131,10.0
132,5.0
133,7.0
134,4.0
135,10.0
136,9.0
137,5.0
138,7.0
139,7.0
140,3.0
141,5.0
142,4.0
143,11.0
144,12.0
145,9.0
146,5.0
147,4.0
148,7.0
149,2.0
150,6.0
151,1.0
152,7.0
153,7.0
154,3.0
155,3.0
156,5.0
157,2.0
158,2.0
159,8.0
160,1.0
161,1.0
162,3.0
163,2.0
164,5.0
165,3.0
166,6.0
167,9.0
168,0.0
169,2.0
170,3.0
171,6.0
172,2.0
173,5.0
174,5.0
175,2.0
176,6.0
177,4.0
178,4.0
179,3.0
180,4.0
181,7.0
182,7.0
183,3.0
184,3.0
185,2.0
186,2.0
187,2.0
188,4.0
189,5.0
190,2.0
191,2.0
192,3.0
193,3.0
194,4.0
195,4.0
196,2.0
197,4.0
198,2.0
199,3.0
200,2.0
201,3.0
202,4.0
203,1.0
204,3.0
205,4.0
206,4.0
207,1.0
208,6.0
209,2.0
210,7.0
211,6.0
212,7.0
213,1.0
214,6.0
215,2.0
216,3.0
217,8.0
218,2.0
219,5.0
220,4.0
221,8.0
222,5.0
223,0.0
224,4.0
225,4.0
226,2.0
227,0.0
228,0.0
229,0.0
230,2.0
231,2.0
232,1.0
233,2.0
234,3.0
235,6.0
236,0.0
237,0.0
238,2.0
239,4.0
240,1.0
241,2.0
242,1.0
243,0.0
244,0.0
245,0.0
246,1.0
247,1.0
248,2.0
249,2.0
250,2.0
251,0.0
252,0.0
253,0.0
254,1.0
255,0.0
256,0.0
257,0.0
258,2.0
259,0.0
260,0.0
261,1.0
262,0.0
263,1.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,1.0
277,1.0
278,0.0
279,0.0
280,1.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
